restaurant,address,latitude,longitude,status,tables,booth,ppp,loan,jobs
Dragon Sushi,"1264 Amsterdam Ave, New York, NY 10027",40.8110601,-73.9583998,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dun Huang,"1268 Amsterdam Ave, New York, NY 10027",40.811138,-73.9583141,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mellow,"1268 Amsterdam Ave, New York, NY 10027",40.811138,-73.9583141,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Nikko,"1280 Amsterdam Ave, New York, NY 10027",40.8114605,-73.9578775,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
El Puerto,"511 W 125th St, New York, NY 10027",40.8140406,-73.9564279,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Lincoln Fried Chicken,"576 W 125th St, New York, NY 10027",40.8150606,-73.9581293,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Go Go Curry,"567 W 125th St, New York, NY 10027",40.8155334,-73.9578727999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Starbucks,"3165 Broadway #3167, New York, NY 10027",40.815045,-73.959122,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Oasis Jimma Juice Bar,"3163 Broadway, New York, NY 10027",40.8149599,-73.9591725,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Peking Garden,"3163 Broadway #3, New York, NY 10027",40.8149599,-73.9591725,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Capt Loui,"3147 Broadway, New York, NY 10027",40.8142995,-73.9597465,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Kuro Kuma,"121 La Salle St, New York, NY 10027",40.8140929,-73.9600902,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
La Salle Dumpling Room,"3141 Broadway, New York, NY 10027",40.8140597,-73.9598482,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Broadway Au Lait,"3070 Broadway, New York, NY 10027",40.8113894,-73.9611314,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Prêt a Manger,"2955 Broadway, New York, NY 10025",40.8079281,-73.9643383,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Sweetgreen,"2937 Broadway, New York, NY 10025",40.8072617,-73.96488,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Starbucks,"2929 Broadway, New York, NY 10025",40.8071034,-73.9649148,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dos Toros,"2911 Broadway, New York, NY 10025",40.8065907,-73.9652409999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Mill,"2895 Broadway, New York, NY 10025",40.8060994,-73.965745,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Shaking Crab,"2869 Broadway, New York, NY 10025",40.8052649,-73.9662306,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Samad's,"2867 Broadway, New York, NY 10025",40.8051769,-73.9663587,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Pressed Juicery,"2857 Broadway, New York, NY 10025",40.8047867,-73.9666982,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Kung Fu Tea,"2851 Broadway, New York, NY 10025",40.8046958,-73.9667079,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Five Guys,"2847 Broadway, New York, NY 10025",40.8046194,-73.9667861,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Chipotle,"2843 Broadway, New York, NY 10025",40.8044746,-73.9668469,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Six Corners Marketplace,"2755 Broadway, New York, NY 10025",40.8012986,-73.9681544,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Broadway Pizza,"2709 Broadway New York, NY 10025",40.7996265,-73.9686711,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Ben & Jerry's,"2722 Broadway, New York, NY 10025",40.7998219,-73.9678342999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Malaysian Grill,"224 W 104th St, New York, NY 10025",40.7994024,-73.9677821,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Silver Moon Bakery,"2740 Broadway, New York, NY 10025",40.8005179,-73.9676712999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Koko Wings,"248 W 106th St, New York, NY 10025",40.8009247,-73.9673689,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Absolute Bagels,"2788 Broadway, New York, NY 10025",40.802516,-73.9673998,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Gong Cha,"2810 Broadway, New York, NY 10025",40.8031948,-73.9670764999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Atlas Kitchen,"258 W 109th St, New York, NY 10025",40.8032407,-73.9669785999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
HMart Cafe,"2828 Broadway, New York, NY 10025",40.8036251,-73.9664276,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Panda Express,"2852 Broadway, New York, NY 10025",40.8045012,-73.9659454,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Tea Magic,"2878 Broadway, New York, NY 10025",40.8052781,-73.9655844999999,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Oren's,"2882 Broadway, New York, NY 10025",40.8055818,-73.9653076,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Dig Inn,"2884 Broadway, New York, NY 10025",40.8055612,-73.9653484,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Milano Market,"2892 Broadway, New York, NY 10025",40.8057329,-73.9652404,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
Junzi,"2896 Broadway, Manhattan, NY 10025",40.8057957,-73.9650674,Takeout,0,0,"$0-$150k, 0 jobs created",$0-$150k,0
West Side Market,"2589 Broadway, New York, NY 10025",40.795879,-73.9714889999999,Takeout,0,0,"$500k-$1 million, 160 jobs retained",$500k-$1mm,160
